cloud_cover_mean,shortwave_radiation_sum,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,date
97,11.02,2.26,0.407,2013-03-22
97,6.89,0.76,0.42,2013-03-23
69,18.29,2.22,0.419,2013-03-24
62,19.3,3.22,0.421,2013-03-25
99,10.07,1.92,0.421,2013-03-26
76,12.5,1.8,0.423,2013-03-27
100,4.15,0.67,0.423,2013-03-28
86,18.15,2.63,0.409,2013-03-29
48,18.41,3.15,0.401,2013-03-30
1,21.97,4.23,0.389,2013-03-31
90,17.25,3.2,0.382,2013-04-01
63,17.06,2.86,0.408,2013-04-02
81,15.21,2.99,0.392,2013-04-03
99,4.53,0.82,0.411,2013-04-04
48,20.44,3.36,0.407,2013-04-05
50,22.94,4.14,0.392,2013-04-06
75,19.35,4.08,0.38,2013-04-07
58,15.71,2.8,0.391,2013-04-08
100,6.53,1.11,0.41,2013-04-09
80,11.78,1.77,0.401,2013-04-10
33,19.99,3.07,0.394,2013-04-11
51,20.55,3.11,0.387,2013-04-12
42,23.59,3.93,0.375,2013-04-13
84,12.44,2.06,0.389,2013-04-14
100,3.53,0.64,0.42,2013-04-15
100,4.54,0.83,0.417,2013-04-16
99,5.78,0.94,0.421,2013-04-17
88,12.06,1.72,0.415,2013-04-18
80,18.31,2.75,0.402,2013-04-19
100,9.51,1.48,0.395,2013-04-20
89,13.2,2.0,0.392,2013-04-21
59,19.14,2.72,0.387,2013-04-22
36,23.91,3.69,0.38,2013-04-23
2,26.15,4.21,0.368,2013-04-24
0,25.96,4.43,0.358,2013-04-25
12,25.29,4.43,0.349,2013-04-26
0,26.02,4.9,0.34,2013-04-27
3,25.33,4.93,0.33,2013-04-28
60,25.39,4.89,0.321,2013-04-29
2,25.1,4.85,0.313,2013-04-30
0,26.84,5.16,0.305,2013-05-01
24,26.46,5.08,0.296,2013-05-02
16,26.62,5.12,0.288,2013-05-03
1,26.08,4.98,0.28,2013-05-04
30,26.85,4.96,0.273,2013-05-05
3,27.29,4.89,0.265,2013-05-06
33,26.53,5.07,0.258,2013-05-07
10,27.68,5.33,0.25,2013-05-08
52,27.13,5.15,0.242,2013-05-09
93,18.84,3.56,0.241,2013-05-10
96,11.21,2.07,0.29,2013-05-11
85,16.93,2.96,0.326,2013-05-12
68,15.3,2.71,0.321,2013-05-13
78,14.81,2.48,0.342,2013-05-14
88,17.55,2.95,0.358,2013-05-15
54,23.81,4.25,0.349,2013-05-16
71,14.8,2.81,0.331,2013-05-17
6,26.7,4.94,0.333,2013-05-18
14,24.55,4.55,0.322,2013-05-19
19,26.96,4.99,0.305,2013-05-20
11,27.17,5.1,0.291,2013-05-21
38,27.94,5.55,0.28,2013-05-22
63,24.16,5.76,0.266,2013-05-23
51,24.4,5.2,0.26,2013-05-24
21,24.54,4.62,0.264,2013-05-25
14,24.53,4.66,0.253,2013-05-26
28,22.39,4.22,0.247,2013-05-27
28,29.19,5.26,0.241,2013-05-28
68,24.31,5.08,0.229,2013-05-29
47,22.94,4.73,0.218,2013-05-30
28,26.59,5.65,0.209,2013-05-31
28,26.18,4.9,0.216,2013-06-01
46,20.25,4.04,0.225,2013-06-02
64,16.67,2.73,0.339,2013-06-03
13,27.13,4.92,0.309,2013-06-04
30,25.52,4.69,0.283,2013-06-05
38,22.64,4.0,0.28,2013-06-06
63,25.62,4.58,0.287,2013-06-07
63,21.69,3.96,0.28,2013-06-08
58,20.83,3.69,0.296,2013-06-09
46,23.73,4.33,0.293,2013-06-10
7,28.55,5.45,0.27,2013-06-11
70,20.71,4.13,0.254,2013-06-12
87,18.68,3.6,0.265,2013-06-13
75,18.89,3.55,0.289,2013-06-14
66,20.41,3.73,0.293,2013-06-15
79,14.58,2.75,0.328,2013-06-16
89,11.82,2.16,0.39,2013-06-17
70,18.3,3.33,0.383,2013-06-18
61,24.59,4.65,0.358,2013-06-19
54,24.94,4.7,0.335,2013-06-20
30,29.39,5.5,0.316,2013-06-21
0,29.81,5.72,0.298,2013-06-22
1,29.64,5.96,0.281,2013-06-23
1,28.62,5.84,0.266,2013-06-24
2,28.74,5.91,0.254,2013-06-25
3,29.55,6.05,0.242,2013-06-26
1,29.74,6.05,0.228,2013-06-27
6,28.43,5.91,0.216,2013-06-28
52,25.58,5.24,0.206,2013-06-29
47,20.58,4.15,0.202,2013-06-30
67,19.56,3.69,0.219,2013-07-01
94,11.64,2.07,0.369,2013-07-02
80,16.62,3.07,0.345,2013-07-03
48,26.08,4.83,0.316,2013-07-04
77,23.31,4.56,0.293,2013-07-05
52,25.14,5.05,0.278,2013-07-06
34,23.97,4.9,0.263,2013-07-07
32,27.89,5.74,0.25,2013-07-08
26,27.82,5.82,0.238,2013-07-09
9,28.27,6.0,0.223,2013-07-10
29,26.04,5.4,0.211,2013-07-11
12,29.01,5.87,0.203,2013-07-12
58,23.43,4.78,0.194,2013-07-13
64,22.37,4.55,0.195,2013-07-14
77,20.16,4.15,0.201,2013-07-15
75,14.91,2.97,0.211,2013-07-16
55,18.38,3.79,0.218,2013-07-17
79,18.2,3.71,0.213,2013-07-18
49,22.97,4.56,0.212,2013-07-19
19,28.63,5.74,0.206,2013-07-20
31,26.52,5.3,0.192,2013-07-21
66,22.32,4.38,0.185,2013-07-22
9,28.52,5.54,0.177,2013-07-23
0,28.59,5.78,0.166,2013-07-24
0,28.38,5.75,0.158,2013-07-25
16,22.58,4.58,0.152,2013-07-26
65,16.42,3.08,0.16,2013-07-27
47,18.5,3.67,0.176,2013-07-28
23,27.8,5.47,0.172,2013-07-29
4,27.57,5.69,0.162,2013-07-30
3,27.14,5.64,0.153,2013-07-31
66,18.72,3.65,0.159,2013-08-01
54,22.95,4.69,0.172,2013-08-02
40,20.96,4.21,0.165,2013-08-03
19,19.93,4.09,0.16,2013-08-04
36,26.57,5.33,0.156,2013-08-05
32,26.15,5.38,0.149,2013-08-06
37,23.39,4.88,0.144,2013-08-07
47,21.09,4.42,0.141,2013-08-08
19,26.36,5.67,0.138,2013-08-09
0,26.75,5.81,0.134,2013-08-10
24,22.78,4.98,0.132,2013-08-11
30,24.47,5.11,0.131,2013-08-12
19,26.09,5.42,0.129,2013-08-13
5,25.81,5.63,0.127,2013-08-14
8,25.92,5.63,0.125,2013-08-15
53,20.32,4.68,0.126,2013-08-16
31,21.52,4.78,0.13,2013-08-17
58,19.31,3.95,0.142,2013-08-18
17,20.88,4.5,0.15,2013-08-19
9,25.18,5.38,0.145,2013-08-20
0,25.38,5.41,0.14,2013-08-21
3,24.48,5.27,0.135,2013-08-22
36,20.19,4.21,0.135,2013-08-23
52,19.21,4.1,0.137,2013-08-24
13,22.95,5.01,0.134,2013-08-25
13,21.51,4.9,0.131,2013-08-26
0,23.83,5.19,0.128,2013-08-27
1,23.76,5.38,0.126,2013-08-28
2,23.28,5.34,0.125,2013-08-29
66,17.72,3.88,0.124,2013-08-30
80,10.78,2.13,0.171,2013-08-31
43,16.25,3.26,0.188,2013-09-01
12,20.9,4.2,0.179,2013-09-02
6,22.14,4.42,0.169,2013-09-03
75,11.74,2.06,0.222,2013-09-04
74,14.35,2.41,0.339,2013-09-05
21,19.37,3.44,0.292,2013-09-06
0,22.45,4.13,0.261,2013-09-07
45,16.81,3.02,0.242,2013-09-08
58,14.19,2.63,0.24,2013-09-09
34,16.74,3.1,0.231,2013-09-10
10,21.21,4.06,0.218,2013-09-11
3,20.61,4.18,0.203,2013-09-12
7,19.41,4.26,0.191,2013-09-13
59,11.19,2.19,0.202,2013-09-14
40,18.1,3.45,0.228,2013-09-15
50,20.35,3.9,0.214,2013-09-16
82,13.51,2.88,0.203,2013-09-17
80,13.78,2.87,0.2,2013-09-18
34,14.35,2.67,0.231,2013-09-19
57,12.1,2.34,0.23,2013-09-20
75,6.7,1.29,0.253,2013-09-21
53,13.17,2.19,0.253,2013-09-22
52,11.85,2.05,0.257,2013-09-23
79,9.3,1.94,0.25,2013-09-24
47,12.82,2.63,0.266,2013-09-25
2,18.65,3.69,0.247,2013-09-26
76,15.31,3.08,0.23,2013-09-27
56,15.29,2.7,0.227,2013-09-28
32,15.56,2.85,0.218,2013-09-29
13,16.45,3.29,0.208,2013-09-30
89,10.13,2.28,0.203,2013-10-01
100,3.28,0.7,0.32,2013-10-02
100,4.22,0.66,0.37,2013-10-03
98,9.23,1.16,0.384,2013-10-04
90,10.21,1.27,0.371,2013-10-05
73,9.92,1.4,0.361,2013-10-06
49,14.48,2.07,0.343,2013-10-07
14,16.83,2.64,0.327,2013-10-08
0,16.79,2.88,0.315,2013-10-09
18,16.32,2.89,0.303,2013-10-10
10,15.65,2.89,0.293,2013-10-11
5,15.1,2.67,0.284,2013-10-12
57,12.82,2.17,0.277,2013-10-13
46,14.19,2.36,0.272,2013-10-14
16,15.21,2.59,0.266,2013-10-15
78,14.27,2.78,0.259,2013-10-16
99,5.59,1.42,0.283,2013-10-17
88,6.55,1.13,0.386,2013-10-18
91,7.23,1.0,0.423,2013-10-19
41,12.16,1.73,0.401,2013-10-20
0,14.56,2.27,0.376,2013-10-21
0,13.97,2.3,0.361,2013-10-22
23,13.47,2.11,0.349,2013-10-23
43,13.64,2.11,0.34,2013-10-24
38,13.63,2.14,0.331,2013-10-25
47,13.01,2.0,0.324,2013-10-26
29,13.15,2.07,0.318,2013-10-27
10,13.14,2.15,0.311,2013-10-28
44,12.64,2.13,0.305,2013-10-29
2,12.63,2.15,0.299,2013-10-30
20,12.01,1.94,0.294,2013-10-31
26,12.34,2.06,0.29,2013-11-01
12,12.45,2.03,0.285,2013-11-02
17,11.99,1.99,0.281,2013-11-03
12,11.87,2.0,0.277,2013-11-04
50,10.25,1.89,0.272,2013-11-05
57,10.77,2.27,0.268,2013-11-06
71,4.51,0.84,0.283,2013-11-07
48,10.3,1.42,0.315,2013-11-08
0,11.55,1.72,0.302,2013-11-09
0,11.51,1.77,0.292,2013-11-10
54,10.89,1.73,0.285,2013-11-11
29,10.85,1.71,0.279,2013-11-12
80,7.48,1.11,0.275,2013-11-13
94,7.0,1.07,0.275,2013-11-14
88,9.88,1.48,0.272,2013-11-15
95,4.58,0.72,0.27,2013-11-16
74,3.41,0.59,0.277,2013-11-17
1,9.97,1.35,0.275,2013-11-18
0,10.06,1.42,0.271,2013-11-19
4,9.81,1.46,0.267,2013-11-20
