epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,5086.49,1.34171,1.00671,1.31341,0.77361,0.71438,0.7763,0.43844,1.49488,1.00562,1.31733,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
42,7807.99,1.32376,0.98458,1.30031,0.77361,0.71372,0.77612,0.44231,1.45436,0.95281,1.30497,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194
42,5305.54,1.3299,0.98904,1.31023,0.77737,0.7079,0.77627,0.43888,1.49747,0.99933,1.31628,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194
43,8016.45,1.32413,0.98241,1.29989,0.77741,0.70883,0.77432,0.4427,1.45663,0.95101,1.30269,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
43,5515.12,1.322,0.97689,1.30416,0.77562,0.71356,0.77935,0.44097,1.48887,0.98849,1.31339,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
44,8222,1.30937,0.9599,1.2929,0.78791,0.69892,0.77614,0.44421,1.45511,0.94584,1.30224,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103
44,5729.4,1.31795,0.97466,1.29933,0.77914,0.70905,0.77867,0.44197,1.4838,0.99061,1.31177,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103
45,8425.35,1.30708,0.9504,1.28955,0.78461,0.70436,0.77753,0.44601,1.45152,0.94596,1.29998,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
45,5943.27,1.30713,0.96211,1.29038,0.77936,0.71225,0.78126,0.44404,1.48124,0.97868,1.30998,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
46,8635.09,1.30798,0.95436,1.28687,0.78221,0.70386,0.7782,0.44637,1.44899,0.94382,1.29742,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
46,6151.36,1.30465,0.95895,1.28892,0.76314,0.72334,0.78182,0.44507,1.4677,0.97247,1.30549,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
47,8848.76,1.29995,0.95246,1.28706,0.78797,0.69873,0.77879,0.44544,1.45251,0.94123,1.29875,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
47,6361.28,1.30281,0.95609,1.2875,0.77326,0.71453,0.78345,0.44656,1.45692,0.96911,1.30367,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
48,9065.37,1.2978,0.94467,1.28159,0.79174,0.70384,0.78066,0.44732,1.45295,0.93791,1.29954,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234
48,6566.97,1.30037,0.94591,1.28317,0.77381,0.7182,0.78235,0.44797,1.4514,0.96491,1.30188,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234
49,9275.54,1.27658,0.91555,1.27167,0.78284,0.70686,0.77967,0.44733,1.4524,0.93889,1.29993,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
49,6778.4,1.28123,0.93171,1.27602,0.76961,0.72218,0.78343,0.44867,1.44945,0.9579,1.30199,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
50,9490.73,1.28052,0.91986,1.27073,0.7879,0.70487,0.77962,0.44802,1.45238,0.93698,1.29949,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588
50,6985.6,1.28195,0.92029,1.26847,0.77797,0.71885,0.78398,0.44871,1.44581,0.95595,1.30122,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588
51,9709.58,1.26074,0.89919,1.25945,0.79237,0.70651,0.78097,0.44839,1.44889,0.93589,1.29778,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
51,7191.32,1.28051,0.90903,1.26454,0.77463,0.71657,0.78331,0.44948,1.44488,0.95577,1.30084,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
